service,decade,count,mean_score,mean_popularity,total_on_service,percentage_of_total
amazon,1920,13,5.792307692307693,2.376230769230769,3857,0.0033704952035260565
amazon,1930,109,5.170642201834863,2.617825688073395,3857,0.028260305937256935
amazon,1940,138,5.680434782608693,3.13695652173913,3857,0.03577910292973814
amazon,1950,107,5.6214953271028,4.790429906542055,3857,0.02774176821363754
amazon,1960,88,5.686363636363636,5.094363636363635,3857,0.022815659839253304
amazon,1970,148,5.85506756756757,5.252337837837837,3857,0.038371791547835106
amazon,1980,201,5.634328358208951,6.024577114427862,3857,0.052113041223749025
amazon,1990,370,5.518378378378376,6.0976027027027,3857,0.09592947886958776
amazon,2000,655,5.4726717557251865,7.792522137404583,3857,0.16982110448535132
amazon,2010,1749,5.67078330474557,6.741403659233854,3857,0.45346123930515947
amazon,2020,279,5.672043010752689,8.983537634408604,3857,0.07233601244490537
disney,1920,1,7.5,9.615,864,0.0011574074074074073
disney,1930,36,6.843055555555555,9.681555555555555,864,0.041666666666666664
disney,1940,39,6.664102564102566,11.474102564102568,864,0.04513888888888889
disney,1950,46,6.73913043478261,11.752869565217388,864,0.05324074074074074
disney,1960,24,6.8,13.332249999999997,864,0.027777777777777776
disney,1970,32,6.3875,14.108625000000002,864,0.037037037037037035
disney,1980,40,6.535000000000001,16.85195,864,0.046296296296296294
disney,1990,106,6.244811320754717,23.203792452830196,864,0.12268518518518519
disney,2000,226,6.240265486725666,28.83799557522126,864,0.26157407407407407
disney,2010,269,6.758921933085502,38.80732713754649,864,0.3113425925925926
disney,2020,45,6.866666666666665,31.1111111111111,864,0.052083333333333336
hbo,1910,7,6.928571428571428,6.598428571428571,1572,0.004452926208651399
hbo,1920,21,7.076190476190476,7.746952380952381,1572,0.013358778625954198
hbo,1930,39,7.244871794871797,10.171846153846158,1572,0.02480916030534351
hbo,1940,46,7.376086956521739,9.624565217391302,1572,0.029262086513994912
hbo,1950,63,7.48015873015873,11.569666666666667,1572,0.04007633587786259
hbo,1960,84,7.321428571428573,11.227619047619052,1572,0.05343511450381679
hbo,1970,79,7.09746835443038,11.246721518987341,1572,0.05025445292620865
hbo,1980,135,6.668518518518514,16.929548148148147,1572,0.08587786259541985
hbo,1990,237,6.40970464135021,16.13745569620252,1572,0.15076335877862596
hbo,2000,334,6.424101796407183,22.516275449101787,1572,0.21246819338422393
hbo,2010,515,6.537669902912622,17.484819417475737,1572,0.3276081424936387
hbo,2020,12,6.308333333333334,8.049583333333334,1572,0.007633587786259542
hulu,1920,1,6.85,5.605,1014,0.0009861932938856016
hulu,1950,14,6.328571428571428,4.762500000000001,1014,0.013806706114398421
hulu,1960,12,6.416666666666668,9.941500000000003,1014,0.011834319526627219
hulu,1970,17,6.7970588235294125,12.673,1014,0.016765285996055226
hulu,1980,30,6.488333333333332,14.7452,1014,0.029585798816568046
hulu,1990,69,6.37536231884058,16.505710144927537,1014,0.06804733727810651
hulu,2000,118,6.327542372881355,26.889881355932207,1014,0.11637080867850098
hulu,2010,621,6.143719806763283,16.683991948470226,1014,0.6124260355029586
hulu,2020,132,6.008333333333336,21.52230303030303,1014,0.1301775147928994
netflix,1940,12,6.5874999999999995,3.3387499999999997,4915,0.0024415055951169887
netflix,1950,11,7.0590909090909095,7.743545454545456,4915,0.0022380467955239063
netflix,1960,20,7.24,14.088350000000002,4915,0.004069175991861648
netflix,1970,63,6.796031746031745,14.123476190476193,4915,0.01281790437436419
netflix,1980,112,6.608035714285718,11.842589285714286,4915,0.022787385554425228
netflix,1990,226,6.515265486725663,16.81261061946903,4915,0.04598168870803662
netflix,2000,623,6.346147672552165,21.419563402889242,4915,0.12675483214649033
netflix,2010,3488,6.169925458715583,11.329507454128446,4915,0.7096642929806715
netflix,2020,360,6.268472222222225,14.45025,4915,0.07324516785350967
